tic_id,ra,dec,tmag
207238953,50.21978,-56.071719,10.9015
262330063,78.318822,4.809898,10.642
392681545,56.337007,60.350917,7.4961
308300731,267.904353,24.427455,10.4748
232679662,282.474539,55.26639,10.3018
421184129,175.387114,-46.196175,10.8967
306996324,178.577997,-37.553357,9.73597
441420236,311.291137,-31.34245,6.755
306990399,266.949667,-62.527452,12.0635
462615350,251.11918,60.086043,12.709
133849258,121.479826,-41.46259,13.7942
229650439,280.923784,74.937833,10.3237
297967252,142.521159,-51.517114,5.5324
150428135,97.095717,-65.578615,10.9102
461662295,124.446664,51.01037,9.92871
284206913,9.305074,61.205097,10.7486
452741216,327.750007,29.710001,12.7283
175176327,115.825326,-36.496714,10.0465
41387532,256.44018,-30.816707,9.50494
394672497,201.749736,-73.594247,9.6181
399871011,74.555144,8.980825,11.0412
317089588,347.462945,-79.699998,13.4669
196351790,14.410856,47.522036,13.3063
456335739,135.139415,49.451496,13.2573
260647166,186.574063,-51.363052,8.6522
374180079,157.935686,0.937278,10.6269
143526444,125.645029,-19.254613,9.3309
147994863,170.68965,70.832276,13.3104
249884767,38.399932,49.169461,11.0888
241442273,205.513548,-48.466443,8.4492
50312495,31.178933,-73.126759,9.8135
271971130,113.852328,-73.577409,13.5308
300812741,116.973103,-71.001967,10.0534
60377863,112.229289,-44.139772,9.4051
302381442,100.172692,76.732244,13.4113
317132251,86.793352,-13.784928,9.95471
372759746,175.196879,71.978724,10.3203
258917846,197.912511,-47.45457,10.3342
286382849,318.346195,61.754571,10.8086
420645189,48.370422,75.268379,10.1374
142087638,98.442149,-74.190098,11.1464
340458804,115.639048,-58.623272,10.3607
47143972,145.012087,-10.977168,14.2991
107548305,212.8173081718,-30.884358971,12.495
742037143,100.1213379387,38.9477468547,17.47
9172417,62.0574890034,-5.7565999164,11.85
219145901,89.392614,-51.729497,9.665
116520408,234.1439946501,46.6358900917,11.512
402319281,353.5459009842,-15.5169826267,10.305
142013583,96.2028908601,-72.0110005009,12.32
36883123,43.3950411005,-9.2080174107,9.13
137151074,291.4069699012,38.5679246362,11.035
201776479,33.4212347388,-59.7000222231,10.487
365034219,311.2932732626,48.086723663,11.052
198388252,258.1953385436,57.0528889369,11.645
120607386,4.691119658,-39.6772618113,8.86
355601553,357.6892726909,-59.5403018892,9.368
320268279,7.4696539199,56.9668076162,12.021
169175441,297.1441440281,41.8816589042,11.487
69889494,338.6748747274,-19.8598096055,7.684
236338880,242.5212448632,25.6152349219,11.585
38707340,66.4542522889,-60.5123624382,12.108
392536812,280.4674436246,58.0564731259,11.225
371066950,329.2592499713,48.6685652849,6.617
219765652,263.0048768257,65.7713770709,9.332
156414921,71.1374673076,39.8754795125,7.816
281498280,6.3588532571,-55.4782818042,11.888
280055342,237.2372139618,-36.6556353118,9.054
264594607,80.7581592709,0.4390696981,8.421
323255579,206.5734527989,-61.5904417067,13.44
14307980,144.5562266881,-1.0744883189,11.21
357685999,275.1753165499,58.6605256373,7.601
384534266,253.262998587,-81.5946056611,7.871
326815804,359.679842227,61.1609925941,9.978
89787778,127.8200021717,-59.2270392516,8.091
366786599,198.0952954086,2.6538298609,7.918
88589037,323.3291248066,25.6906356236,15.574
457427613,157.3973894226,-57.9663824733,5.25
150390189,96.5896092656,-65.1523907371,8.54
29053989,50.8846575191,25.8994033049,9.298
455732776,357.2802502107,39.8002819952,10.29
1045298,34.4267326239,-8.277569693,10.686
406631696,351.4123040376,71.8461714815,10.297
436168322,306.3901543712,27.3691939778,9.59
79565128,52.8033668772,-47.1046025111,11.922
268610013,299.1616848939,45.0519168986,11.417
244250449,74.3102719895,-3.6012937725,10.294
165310952,299.2429420462,54.7995223834,8.446
14844585,306.4096904899,37.0529324503,11.407
455947620,340.0007491139,60.8231744483,13.706
157273362,198.6215258138,59.6196243775,7.926
364964726,298.2213356339,59.5284870514,11.015
376891083,341.2608900112,68.1329078544,8.672
255565860,96.3566774675,-51.9910826765,12.793
81604794,123.2583238141,-45.5227891633,8.069
435936714,83.5093532637,6.3364954288,16.037
102691227,155.5723038527,-43.2148678681,8.506
67982365,242.433703,-28.963182,10.344
378395625,302.2990675945,33.9199437069,7.904
77044471,358.5587428819,-30.0130295636,13.258
53963396,18.3423730645,60.7644161953,10.708
458481461,233.4627495532,63.907140748,7.144
237069277,306.9743307826,63.4148813405,10.52
17451194,308.2937565607,41.3728922004,11.202
63192395,104.7254174748,-25.5720526629,9.602
91638523,39.6034799123,-37.9905442489,5.986
150101472,92.1058357292,-63.2544162178,9.877
267803830,10.865749869,32.6641766607,13.095
306580215,119.7423476789,-67.2323235115,11.053
372909935,119.4535486738,-64.2146262115,11.034
296184440,109.282659726,-15.5120531219,15.452
329770815,332.9932546021,54.6416352015,12.017
231275247,41.8354388202,-51.4528880815,9.106
92359850,52.2255918801,-19.9797685512,9.655
11799872,102.0534248346,55.7044847385,5.865
78055054,80.5381980728,-30.9708364981,12.846
