target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 163032344,163032344,100,100,10.3,190.9629,-51.127,3,1,6361.0,1.18282,215.324,DWARF,0,2.205837,2385
TIC 933456043,933456043,100,100,12.44,166.655,-53.9567,2,1,4914.0,0.72264,220.744,DWARF,0,2.205844,2386
TIC 392206021,392206021,100,100,10.41,174.5751,-68.9322,3,3,5441.0,1.15334,167.868,DWARF,0,2.205915,2387
TIC 57467365,57467365,100,100,12.83,172.703,-33.9541,2,3,4292.0,0.66078,180.39,DWARF,0,2.206114,2388
TIC 209017814,209017814,100,100,11.24,209.6265,-55.8157,3,4,5332.0,0.953048,195.394,DWARF,0,2.20623,2389
TIC 457145534,457145534,100,100,12.56,203.2327,-58.782,3,4,3260.0,0.703271,120.276,DWARF,0,2.206245,2390
TIC 306996646,306996646,100,100,12.0,178.6229,-37.1328,2,3,4857.0,0.800075,196.808,DWARF,0,2.206261,2391
TIC 264137167,264137167,100,100,10.95,216.9757,-59.7432,3,4,4397.0,1.01891,120.905,DWARF,0,2.206272,2392
TIC 160523545,160523545,100,100,12.71,189.5695,-50.7748,3,1,3460.0,0.679529,133.292,DWARF,0,2.206416,2393
TIC 241436787,241436787,100,100,12.88,205.3629,-50.9193,3,1,3295.0,0.65345,130.523,DWARF,0,2.206425,2394
TIC 390228789,390228789,100,100,10.72,183.7269,-55.5682,3,2,4237.0,1.07467,107.32,DWARF,0,2.20655,2395
