target,tic_id,planet,expected_period_days,expected_depth_ppm,tmag,source_rowupdate,purpose,sector,sectors,author,cadence_seconds,observed_baseline_days,expected_transits
TIC 49045066,49045066,TOI-2992 b,3.007812,6660,11.97,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.65,7.53
TIC 50618703,50618703,TOI-544 b,1.548352,881.877,9.65,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,6,6;32;98,SPOC,120,81,52.31
TIC 50712784,50712784,WASP-161 b,5.4060425,4509.2,10.56,catalog_pl_trandep,survey-wide known-planet recovery rate,99,99,SPOC,120,21.42,3.96
TIC 52005579,52005579,Gliese 12 b,12.761418,1035.18,10.18,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,42,42;43;57,SPOC,120,81,6.35
TIC 52204645,52204645,TOI-209 b,4.3794359,873.639,10.85,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,95,95,SPOC,120,21.83,4.98
TIC 52368076,52368076,TOI-125 b,4.65382,870,10.2,catalog_pl_trandep,survey-wide known-planet recovery rate,95,95,SPOC,120,21.79,4.68
TIC 53735810,53735810,WASP-66 b,4.08605,6700,11.25,catalog_pl_trandep,survey-wide known-planet recovery rate,100,100,SPOC,120,22.86,5.60
TIC 54962195,54962195,TOI-663 b,2.598902,1652.16,11.76,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,22.92,8.82
TIC 55092869,55092869,KELT-11 b,4.7362087,2659.73,7.321,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.13,4.88
TIC 55650590,55650590,TOI-206 b,0.7363104,1159.56,12.43,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,94,94,SPOC,120,21.5,29.21
TIC 58542531,58542531,TOI-1683.01,3.0575356,1193.88,9.794,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,19,19;43;44,SPOC,120,81,26.49
TIC 59128183,59128183,TOI-2453 b,4.4414346,3502.53,12.42,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,98,98,SPOC,120,50.52,11.37
TIC 61538902,61538902,WASP-129 b,5.748145,11276,11.37,derived_from_pl_rade_st_rad,survey-wide known-planet recovery rate,100,100,SPOC,120,23.18,4.03
