target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,stellar_mass_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 333884277,333884277,100,100,14.66,192.7465,-66.3752,3,3,3052.0,0.394009,0.384701,130.924,DWARF,0,2.123012,568
TIC 241791332,241791332,100,100,14.8,209.4383,-53.7372,3,4,3075.0,0.423527,0.417766,153.864,DWARF,0,2.213762,569
TIC 343165279,343165279,100,100,15.44,240.7769,-65.2721,4,1,3163.0,0.444099,0.440218,222.706,DWARF,0,2.38296,570
TIC 407125926,407125926,100,100,14.85,234.5014,-80.2021,4,2,3295.0,0.493637,0.491732,209.684,DWARF,0,2.356815,571
TIC 292778668,292778668,100,100,15.5,274.978,-80.3353,4,3,3428.0,0.427444,0.422082,249.171,DWARF,0,2.361758,572
TIC 294146078,294146078,100,100,15.73,264.7531,-68.3557,4,4,3176.0,0.333756,0.315431,187.853,DWARF,0,2.192858,573
TIC 70826190,70826190,100,100,11.59,152.1818,-32.2195,1,1,,,,31.3587,UNKNOWN,5,999.0,574
TIC 437230991,437230991,100,100,14.73,164.7624,-21.4923,1,2,31000.0,0.18,0.47,1131.39,DWARF,2,1.456545,575
TIC 348905880,348905880,100,100,14.35,148.8384,-12.1076,1,4,,,,,UNKNOWN,5,999.0,576
TIC 272744793,272744793,100,100,14.38,161.5146,-50.6219,2,1,3620.0,0.53608,0.532562,219.129,DWARF,0,2.334459,577
TIC 275470331,275470331,100,100,14.3,178.6254,-47.3158,2,2,3165.0,0.437258,0.432814,134.087,DWARF,0,2.141476,578
TIC 152484651,152484651,100,100,14.3,171.9447,-39.7096,2,3,3526.0,0.500071,0.498126,182.525,DWARF,0,2.258063,579
TIC 106310877,106310877,100,100,15.26,158.7814,-38.359,2,4,3583.0,0.584604,0.575342,343.529,DWARF,0,2.585724,580
TIC 253249438,253249438,100,100,14.45,195.6137,-57.8801,3,1,3107.0,0.390676,0.380916,113.501,DWARF,0,2.073633,581
TIC 398775692,398775692,100,100,14.23,180.3391,-54.7596,3,2,2969.0,0.426113,0.420618,111.707,DWARF,0,2.10505,582
TIC 361991968,361991968,100,100,14.73,196.2105,-72.3606,3,3,2994.0,0.390246,0.380427,127.46,DWARF,0,2.128677,583
TIC 241790721,241790721,100,100,15.44,209.42,-53.908,3,4,3289.0,0.365604,0.352212,190.018,DWARF,0,2.214022,584
TIC 456119977,456119977,100,100,14.93,230.6961,-65.0988,4,1,3557.0,0.502265,0.50029,246.73,DWARF,0,2.387866,585
TIC 1106787470,1106787470,100,100,15.08,229.0883,-70.3055,4,2,3663.0,0.478432,0.53,247.647,DWARF,0,2.37564,586
TIC 310802947,310802947,100,100,14.44,255.3262,-72.7706,4,3,3764.0,0.551816,0.546885,249.047,DWARF,0,2.371589,587
TIC 304834163,304834163,100,100,14.06,260.8397,-59.9913,4,4,3538.0,0.493582,0.491677,161.249,DWARF,0,2.198719,588
TIC 308932824,308932824,100,100,11.8,150.6287,-28.2413,1,1,,,,,UNKNOWN,5,999.0,589
TIC 437237493,437237493,100,100,14.94,165.1946,-21.2199,1,2,31000.0,0.18,0.47,2101.11,DWARF,2,1.498545,590
TIC 307982318,307982318,100,100,14.9,154.9678,-14.1261,1,4,,,,106.743,UNKNOWN,5,999.0,591
TIC 932895055,932895055,100,100,14.23,171.6134,-54.7407,2,1,3549.0,0.565372,0.48,179.665,DWARF,0,2.350669,592
TIC 72564432,72564432,100,100,14.78,187.8789,-45.9768,2,2,3111.0,0.391851,0.382251,140.379,DWARF,0,2.142242,593
TIC 181020924,181020924,100,100,14.08,173.305,-37.1787,2,3,3505.0,0.627111,0.609668,231.547,DWARF,0,2.410689,594
TIC 49048205,49048205,100,100,15.73,164.5664,-34.0921,2,4,3974.0,0.612303,0.598012,532.688,DWARF,0,2.719933,595
TIC 333823153,333823153,100,100,14.26,182.225,-51.2657,3,1,3107.0,0.409458,0.402116,115.293,DWARF,0,2.076419,596
TIC 267846412,267846412,100,100,14.05,176.2949,-57.776,3,2,3027.0,0.44469,0.440856,112.284,DWARF,0,2.106115,597
TIC 281881505,281881505,100,100,14.26,186.0432,-70.965,3,3,3271.0,0.444334,0.440472,142.97,DWARF,0,2.147419,598
