target,tic_id,sectors,artifact_epoch_btjd,prior_depth_snr,prior_passes,prior_period_days,prior_pipeline_version,prior_transit_time,shared_epochs_seen,source_campaigns
TIC 461190022,461190022,100,4080.8,6.9264,False,4.481396,processed-lc-v2,4076.378208,4080.8,sector100_expansion_5000
TIC 461190024,461190024,100,4080.8,6.1914,False,0.963716,processed-lc-v2,4074.764666,4080.8,sector100_expansion_5000
TIC 461196559,461196559,100,4080.8,8.3323,False,1.046274,processed-lc-v2,4074.2417,4080.8,sector100_expansion_5000
TIC 466285092,466285092,100,4080.8,20.3924,True,6.637525,processed-lc-v2,4079.952147,4080.8,sector100_expansion_5000
TIC 467558608,467558608,100,4080.8,6.6214,False,0.554093,processed-lc-v2,4074.275721,4080.8,sector100_expansion_5000
TIC 876166854,876166854,100,4074.4,5.5517,False,0.664493,processed-lc-v2,4074.844009,4074.4,sector100_expansion_5000
TIC 934105953,934105953,100,4080.8,7.9594,False,0.999855,processed-lc-v2,4074.485038,4080.8,sector100_expansion_5000
TIC 940092729,940092729,100,4080.8,4.2825,False,0.509624,processed-lc-v2,4074.204376,4080.8,sector100_expansion_5000
TIC 942175310,942175310,100,4080.8,5.6443,False,9.616044,processed-lc-v2,4074.681033,4080.8,sector100_expansion_5000
TIC 950961404,950961404,100,4080.8,6.4994,False,6.812986,processed-lc-v2,4080.72554,4080.8,sector100_expansion_5000
TIC 951044467,951044467,100,4080.8,5.2838,False,1.731172,processed-lc-v2,4075.499697,4080.8,sector100_expansion_5000
TIC 955210099,955210099,100,4080.8,9.8811,True,9.241992,processed-lc-v2,4080.795318,4080.8,sector100_expansion_5000
TIC 957424539,957424539,100,4080.8,9.6505,True,9.143611,processed-lc-v2,4080.795527,4080.8,sector100_expansion_5000
TIC 1012535693,1012535693,100,4080.8,7.4386,True,6.979421,processed-lc-v2,4078.928578,4080.8,sector100_expansion_5000
